,mean_return
ACC.NS,0.004195837573260343
ADANIPORTS.NS,0.017802866311904936
AMBUJACEM.NS,0.016162999059695253
ASIANPAINT.NS,-0.0031769264530029824
AXISBANK.NS,0.010892128761041594
BAJAJ-AUTO.NS,0.023829701780598973
BANKBARODA.NS,0.030966747006865827
BHARTIARTL.NS,0.029123342926281805
BHEL.NS,0.03724529237681804
BOSCHLTD.NS,0.02335322575766959
BPCL.NS,0.014622401626393727
CIPLA.NS,0.01316333747363733
COALINDIA.NS,0.035095977432413744
DRREDDY.NS,0.008533734817438127
GAIL.NS,0.021929050661562522
GRASIM.NS,0.014255860025597951
HCLTECH.NS,0.02195686199504015
HDFCBANK.NS,0.006163055934500228
HEROMOTOCO.NS,0.01439703935932838
HINDALCO.NS,0.017590486094875894
HINDUNILVR.NS,0.0020607011875967036
ICICIBANK.NS,0.019042779223403763
INDUSINDBK.NS,0.003709781137184393
INFY.NS,0.008678747871433518
ITC.NS,0.025258168999396622
KOTAKBANK.NS,0.0027832343805231866
LT.NS,0.023733069336828973
LUPIN.NS,0.02137625626342326
M&M.NS,0.036544482883405185
MARUTI.NS,0.011478346796936349
NTPC.NS,0.0319082642159201
ONGC.NS,0.026179859650523576
PNB.NS,0.027719554809066578
POWERGRID.NS,0.02744796912668809
RELIANCE.NS,0.007205742525759438
SBIN.NS,0.01883803788603829
SUNPHARMA.NS,0.027541918838147376
TATAPOWER.NS,0.033095649904751036
TATASTEEL.NS,0.010756618756086956
TCS.NS,0.008214689195745492
TECHM.NS,0.017512799877061353
ULTRACEMCO.NS,0.0148711880060703
VEDL.NS,0.03582053463797403
WIPRO.NS,0.005356113525370026
ZEEL.NS,-0.0001940146410537329
